league,season,team,player,nation,pos,age,born,mp,starts,min,90s,gls,ast,g_a,gls_npk,pk,pkatt,yellow,red,gls_p90,ast_p90,g_a_p90,gls_npk_p90,g_a_npk_p90,player_key,sh,sot,sot_pct,sh_p90,sot_p90,g_per_sh,g_per_sot,gk_ga,gk_ga90,gk_sota,gk_saves,gk_save_pct,gk_w,gk_d,gk_l,gk_cs,gk_cs_pct,gk_pk_faced,gk_pk_allowed,gk_pk_saved,gk_pk_missed,gk_pk_save_pct,mn_per_mp,min_pct,mn_per_start,starts_completed,subs,mn_per_sub,unsub,ppm,ong,onga,plus_minus,plus_minus_p90,on_off,second_yellow,fouls,fouled,offsides,crosses,interceptions,tkl_won,own_goals,country,league_tier,club_league_difficulty,primary_pos,is_gk,is_df,is_mf,is_fw,gk_save_pct_adj,gls_adj,ast_adj,g_a_adj,sh_adj,sot_adj,npg_adj,tkl_won_adj,interceptions_adj,crosses_adj,fouls_adj,involvement,shot_quality,discipline,fwd_raw,mid_raw,def_raw,gk_ga90_inv,gk_raw,fwd_score,mid_score,def_score,gk_score,trend_gls_p90,trend_ast_p90,trend_g_a_p90,trend_gls_adj,trend_ast_adj,weighted_score,seasons_in_data,form_trend_bonus,nt_caps,caps_multiplier,pick,position_group,role
GER-Bundesliga,2526,Hoffenheim,Oliver Baumann,GER,GK,36.0,1990.0,30,30,2700,30.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,oliver baumann||hoffenheim||2526,0,0,,0.0,0.0,,,44.0,1.47,129.0,89.0,69.0,16.0,6.0,8.0,6.0,20.0,6.0,4.0,0.0,2.0,0.0,90,100.0,90.0,30,0,,0,1.8,59,44,15,0.5,,0,0,5,0,0,0,0,0,Germany,1,4.7,GK,True,False,False,False,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,,,,1.96,25.19,,,,55.45754018261812,0.0,0.0,0.0,0.0,0.0,68.14,3.0,0.0,26.0,0.972,1,GK,starter
GER-Bundesliga,2526,Werder Bremen,Niklas Stark,GER,DF,31.0,1995.0,13,8,633,7.0,0,0,0,0,0,0,8,2,0.0,0.0,0.0,0.0,0.0,niklas stark||werder bremen||2526,3,1,33.3,0.43,0.14,0.0,0.0,,,,,,,,,,,,,,,,49,23.4,69.0,2,5,16.0,2,1.46,8,13,-5,-0.71,-0.14,2,11,7,0,1,12,10,0,Germany,1,4.7,DF,False,True,False,False,,0.0,0.0,0.0,2.021,0.6580000000000001,0.0,6.714285714285714,8.057142857142857,0.6714285714285714,7.385714285714286,0.0,0.0,2.571428571428572,,,2.662714285714286,0.0,,,,82.17786426464983,,0.0,-0.04,-0.04,0.0,-0.188,81.5,3.0,0.0,,1.0,6,DF,sub
ESP-La Liga,2526,Real Madrid,Antonio Rüdiger,GER,DF,33.0,1993.0,13,12,1084,12.0,1,0,1,1,0,0,0,0,0.08,0.0,0.08,0.08,0.08,antonio rüdiger||real madrid||2526,11,1,9.1,0.91,0.08,0.09,1.0,,,,,,,,,,,,,,,,83,38.9,85.0,9,1,67.0,3,2.15,27,12,15,1.25,0.14,0,9,1,1,2,3,4,0,Spain,1,4.8,DF,False,True,False,False,,0.384,0.0,0.384,4.368,0.384,0.384,1.6,1.2,0.7999999999999999,3.6,0.037037037037037,1.0,0.0,,,0.611,0.0,,,,70.65299817441371,,0.08,0.0,0.08,0.384,0.0,81.49,3.0,1.15,115.0,1.12,7,DF,sub
GER-Bundesliga,2526,Heidenheim,Patrick Mainka,GER,DF,32.0,1994.0,30,30,2700,30.0,2,2,4,2,0,0,1,0,0.07,0.07,0.13,0.07,0.13,patrick mainka||heidenheim||2526,33,7,21.2,1.1,0.23,0.06,0.29,,,,,,,,,,,,,,,,90,100.0,90.0,30,0,,0,0.63,33,66,-33,-1.1,,0,7,19,2,0,30,27,0,Germany,1,4.7,DF,False,True,False,False,,0.329,0.329,0.6110000000000001,5.170000000000001,1.0810000000000002,0.329,4.23,4.7,0.0,1.096666666666667,0.1212121212121212,0.29,0.0333333333333333,,,1.9011666666666664,0.0,,,,77.90010766278145,,0.04,0.04,0.07,0.188,0.188,81.26,3.0,0.56,,1.0,8,DF,sub
GER-Bundesliga,2425,Eintracht Frankfurt,Nnamdi Collins,GER,"DF,MF",20.0,2004.0,24,15,1489,16.5,1,1,2,1,0,0,4,0,0.06,0.06,0.12,0.06,0.12,nnamdi collins||eintracht frankfurt||2425,5,2,40.0,0.3,0.12,0.2,0.5,,,,,,,,,,,,,,,,62,48.7,84.0,11,9,26.0,7,1.96,36,18,18,1.09,0.86,0,26,22,0,17,18,24,0,Germany,1,4.7,DF,False,True,False,False,,0.282,0.282,0.564,1.41,0.564,0.282,6.836363636363637,5.127272727272727,4.842424242424243,7.406060606060606,0.0555555555555555,0.5,0.2424242424242424,,,2.5851818181818182,0.0,,,,81.74234977212087,,0.06,0.06,0.12,0.282,0.282,80.45,2.0,0.85,,1.0,9,DF,alternate
GER-Bundesliga,2526,Werder Bremen,Amos Pieper,GER,DF,28.0,1998.0,15,15,1187,13.2,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,amos pieper||werder bremen||2526,8,2,25.0,0.61,0.15,0.0,0.0,,,,,,,,,,,,,,,,79,44.0,79.0,12,0,,3,0.93,16,24,-8,-0.61,-0.01,0,8,13,0,7,24,21,0,Germany,1,4.7,DF,False,True,False,False,,0.0,0.0,0.0,2.867,0.705,0.0,7.477272727272728,8.545454545454547,2.492424242424242,2.8484848484848486,0.0,0.0,0.303030303030303,,,3.5821818181818186,0.0,,,,87.3426868034367,,0.0,0.0,0.0,0.0,0.0,80.3,3.0,0.0,15.0,0.95,10,DF,alternate
ITA-Serie A,2324,Inter,Yann Aurel Bisseck,GER,DF,22.0,2000.0,16,9,904,10.0,2,0,2,2,0,0,0,0,0.2,0.0,0.2,0.2,0.2,yann aurel bisseck||inter||2324,12,4,33.3,1.19,0.4,0.17,0.5,,,,,,,,,,,,,,,,57,26.4,90.0,8,7,14.0,22,2.5,26,6,20,1.99,0.31,0,6,11,2,5,6,6,0,Italy,1,4.6,DF,False,True,False,False,,0.92,0.0,0.92,5.473999999999999,1.84,0.92,2.76,2.76,2.3,2.76,0.0769230769230769,0.5,0.0,,,1.5485,0.0,,,,75.91911248420166,,,,,,,77.71,3.0,0.0,,1.0,11,DF,alternate
GER-Bundesliga,2526,Bayern Munich,Jamal Musiala,GER,MF,23.0,2003.0,11,4,460,5.1,2,4,6,1,1,1,1,0,0.39,0.78,1.17,0.2,0.98,jamal musiala||bayern munich||2526,21,5,23.8,4.11,0.98,0.05,0.2,,,,,,,,,,,,,,,,42,17.0,74.0,1,7,24.0,0,2.55,22,7,15,2.93,0.32,0,4,14,0,3,3,2,0,Germany,1,4.7,MF,False,False,True,False,,1.833,3.666,5.499,19.317000000000004,4.606,0.94,1.843137254901961,2.7647058823529416,2.7647058823529416,3.686274509803922,0.2727272727272727,0.2,0.196078431372549,,2.4941758467023174,,0.0,,,57.870466895138016,,,-0.2099999999999999,0.68,0.47,-0.9869999999999997,3.196,64.63,3.0,2.82,65.0,1.05,1,MF,starter
GER-Bundesliga,2324,Leverkusen,Robert Andrich,GER,"MF,DF",28.0,1994.0,28,18,1690,18.8,4,2,6,4,0,0,4,0,0.21,0.11,0.32,0.21,0.32,robert andrich||leverkusen||2324,23,9,39.1,1.22,0.48,0.17,0.44,,,,,,,,,,,,,,,,60,55.2,87.0,16,10,12.0,6,2.71,47,9,38,2.02,0.25,0,23,14,0,14,20,18,0,Germany,1,4.7,MF,False,False,True,False,,0.987,0.517,1.504,5.734,2.256,0.987,4.5,5.0,3.5,5.75,0.1276595744680851,0.44,0.2127659574468085,,1.5412936170212763,,0.0,,,50.4706734842791,,,,,,,,64.52,3.0,0.0,,1.0,2,MF,backup
GER-Bundesliga,2425,RB Leipzig,Ridle Baku,GER,MF,26.0,1998.0,19,15,1275,14.2,2,3,5,2,0,0,1,0,0.14,0.21,0.35,0.14,0.35,ridle baku||rb leipzig||2425,17,5,29.4,1.2,0.35,0.12,0.4,,,,,,,,,,,,,,,,67,41.7,80.0,7,4,19.0,0,1.26,22,22,0,0.0,-0.25,0,13,14,3,33,11,19,0,Germany,1,4.7,MF,False,False,True,False,,0.6580000000000001,0.987,1.645,5.64,1.645,0.6580000000000001,6.288732394366197,3.640845070422536,10.922535211267606,4.302816901408451,0.2272727272727272,0.4,0.0704225352112676,,1.5606411651728551,,0.0,,,50.62092065530279,,,,,,,,64.39,2.0,0.0,41.0,1.002,3,MF,sub
GER-Bundesliga,2526,Bayern Munich,Joshua Kimmich,GER,MF,31.0,1995.0,26,22,2055,22.8,2,6,8,2,0,0,4,0,0.09,0.26,0.35,0.09,0.35,joshua kimmich||bayern munich||2526,25,10,40.0,1.09,0.44,0.08,0.2,,,,,,,,,,,,,,,,79,76.1,87.0,17,4,34.0,1,2.58,81,23,58,2.54,-0.53,0,7,20,0,112,21,22,0,Germany,1,4.7,MF,False,False,True,False,,0.423,1.2220000000000002,1.645,5.123,2.068,0.423,4.535087719298246,4.328947368421053,23.087719298245617,1.442982456140351,0.0987654320987654,0.2,0.175438596491228,,1.3671346653671212,,0.0,,,49.11820806646571,,,0.0,0.04,0.0299999999999999,0.0,0.1880000000000001,63.53,3.0,0.18,133.0,1.12,4,MF,sub
GER-Bundesliga,2425,Bayern Munich,Leroy Sané,GER,MF,28.0,1996.0,30,17,1637,18.2,11,5,16,11,0,0,2,0,0.6,0.27,0.88,0.6,0.88,leroy sané||bayern munich||2425,67,30,44.8,3.68,1.65,0.16,0.37,,,,,,,,,,,,,,,,55,53.5,79.0,7,13,23.0,2,2.4,53,21,32,1.76,-0.45,0,16,25,6,50,7,14,0,Germany,1,4.7,MF,False,False,True,False,,2.82,1.269,4.136,17.296000000000003,7.755,2.82,3.615384615384616,1.807692307692308,12.912087912087912,4.131868131868132,0.3018867924528302,0.37,0.1098901098901098,,1.954790545303753,,0.0,,,53.68176479231963,,,0.2599999999999999,-0.19,0.0799999999999999,1.2219999999999998,-0.8930000000000002,63.37,2.0,0.48,91.0,1.102,5,MF,sub
GER-Bundesliga,2425,Leverkusen,Florian Wirtz,GER,MF,21.0,2003.0,31,25,2351,26.1,10,12,22,8,2,4,3,0,0.38,0.46,0.84,0.31,0.77,florian wirtz||leverkusen||2425,78,39,50.0,2.99,1.49,0.1,0.21,,,,,,,,,,,,,,,,76,76.8,87.0,17,6,28.0,0,1.94,58,32,26,1.0,0.61,0,22,39,11,102,9,22,0,Germany,1,4.7,MF,False,False,True,False,,1.786,2.1620000000000004,3.948,14.053,7.003,1.457,3.961685823754789,1.6206896551724137,18.367816091954023,3.961685823754789,0.3793103448275862,0.21,0.1149425287356321,,2.132152490421456,,0.0,,,55.05910368262343,,,-0.0399999999999999,0.04,0.01,-0.1879999999999999,0.1880000000000004,62.47,2.0,0.06,,1.0,6,MF,sub
GER-Bundesliga,2526,Gladbach,Luca Netz,GER,"MF,DF",23.0,2003.0,15,10,940,10.4,0,2,2,0,0,0,1,0,0.0,0.19,0.19,0.0,0.19,luca netz||gladbach||2526,2,0,0.0,0.19,0.0,0.0,,,,,,,,,,,,,,,,,63,34.8,86.0,7,5,17.0,5,0.93,14,10,4,0.38,1.3,0,8,2,0,26,7,10,0,Germany,1,4.7,MF,False,False,True,False,,0.0,0.893,0.893,0.893,0.0,0.0,4.519230769230769,3.1634615384615383,11.75,3.615384615384616,0.1428571428571428,0.0,0.0961538461538461,,1.364582967032967,,0.0,,,49.09839235374548,,,0.0,0.0,0.0,0.0,0.0,58.15,3.0,0.0,,1.0,7,MF,sub
GER-Bundesliga,2324,Bochum,Maximilian Wittek,GER,"MF,DF",27.0,1995.0,21,13,1070,11.9,3,1,4,3,0,0,4,0,0.25,0.08,0.34,0.25,0.34,maximilian wittek||bochum||2324,26,8,30.8,2.19,0.67,0.12,0.38,,,,,,,,,,,,,,,,51,35.0,73.0,6,8,15.0,11,0.81,14,36,-22,-1.85,-1.4,0,21,26,2,51,18,18,0,Germany,1,4.7,MF,False,False,True,False,,1.175,0.376,1.598,10.293,3.1490000000000005,1.175,7.109243697478992,7.109243697478992,20.142857142857142,8.294117647058824,0.2857142857142857,0.38,0.3361344537815126,,1.7414848739495803,,0.0,,,52.02529786259864,,,,,,,,57.82,2.0,0.0,15.0,0.95,8,MF,sub
GER-Bundesliga,2526,Dortmund,Julian Brandt,GER,"MF,FW",30.0,1996.0,25,14,1345,14.9,7,3,10,7,0,0,0,0,0.47,0.2,0.67,0.47,0.67,julian brandt||dortmund||2526,32,16,50.0,2.14,1.07,0.22,0.44,,,,,,,,,,,,,,,,54,49.8,83.0,5,11,16.0,3,2.12,35,17,18,1.2,0.41,0,6,5,7,22,5,7,0,Germany,1,4.7,MF,False,False,True,False,,2.209,0.94,3.1490000000000005,10.058000000000002,5.029000000000001,2.209,2.208053691275168,1.577181208053691,6.939597315436242,1.8926174496644288,0.2857142857142857,0.44,0.0,,1.6198163470757432,,0.0,,,51.080457109538,,,0.2699999999999999,-0.19,0.08,1.269,-0.8930000000000001,56.95,3.0,0.48,104.0,1.12,9,MF,alternate
GER-Bundesliga,2324,Bayern Munich,Leon Goretzka,GER,MF,28.0,1995.0,30,25,2241,24.9,6,7,13,6,0,0,3,0,0.24,0.28,0.52,0.24,0.52,leon goretzka||bayern munich||2324,56,15,26.8,2.25,0.6,0.11,0.4,,,,,,,,,,,,,,,,75,73.2,84.0,17,5,28.0,0,2.0,64,39,25,1.0,-1.63,0,23,14,2,10,30,21,0,Germany,1,4.7,MF,False,False,True,False,,1.128,1.3160000000000005,2.4440000000000004,10.575,2.82,1.128,3.963855421686747,5.66265060240964,1.887550200803213,4.34136546184739,0.203125,0.4,0.1204819277108433,,1.5266515060240966,,0.0,,,50.35696730621944,,,,,,,,55.1,3.0,0.0,99.0,1.118,10,MF,alternate
GER-Bundesliga,2526,Mainz 05,Nadiem Amiri,GER,MF,30.0,1996.0,22,20,1765,19.6,11,2,13,3,8,8,6,0,0.56,0.1,0.66,0.15,0.25,nadiem amiri||mainz 05||2526,41,17,41.5,2.09,0.87,0.07,0.18,,,,,,,,,,,,,,,,80,65.4,86.0,12,2,28.0,0,1.0,24,28,-4,-0.2,0.28,0,17,22,3,114,16,16,0,Germany,1,4.7,MF,False,False,True,False,,2.632000000000001,0.47,3.1020000000000003,9.823,4.089,0.705,3.836734693877551,3.836734693877551,27.33673469387756,4.076530612244898,0.5416666666666666,0.18,0.3061224489795918,,2.002074149659864,,0.0,,,54.04895487421793,,,0.31,-0.0799999999999999,0.22,1.4570000000000003,-0.3759999999999999,53.87,3.0,1.32,,1.0,11,MF,alternate
GER-Bundesliga,2526,Stuttgart,Deniz Undav,GER,"FW,MF",30.0,1996.0,25,21,1904,21.2,18,6,24,18,0,1,5,0,0.85,0.28,1.13,0.85,1.13,deniz undav||stuttgart||2526,110,43,39.1,5.2,2.03,0.16,0.42,,,,,,,,,,,,,,,,76,70.5,84.0,10,4,36.0,0,1.88,46,29,17,0.8,0.46,0,29,18,23,14,4,12,0,Germany,1,4.7,FW,False,False,False,True,,3.995,1.3160000000000005,5.311,24.44,9.541,3.995,2.660377358490566,0.8867924528301888,3.1037735849056607,6.429245283018869,0.5217391304347826,0.42,0.2358490566037736,4.015368416735029,,,0.0,,91.21926376588776,,,,0.38,0.12,0.4999999999999999,1.786,0.5640000000000003,79.7,3.0,5.0,6.0,0.932,1,FW,starter
GER-Bundesliga,2526,Köln,Luca Waldschmidt,GER,"FW,MF",30.0,1996.0,21,6,564,6.3,4,3,7,2,2,2,1,0,0.64,0.48,1.12,0.32,0.8,luca waldschmidt||köln||2526,19,9,47.4,3.03,1.44,0.11,0.22,,,,,,,,,,,,,,,,27,20.9,60.0,0,15,14.0,7,0.81,14,9,5,0.8,1.3,0,4,6,2,15,3,3,0,Germany,1,4.7,FW,False,False,False,True,,3.008,2.256,5.264000000000001,14.241,6.768,1.504,2.238095238095238,2.238095238095238,11.190476190476192,2.984126984126984,0.5,0.22,0.1587301587301587,2.894963492063492,,,0.0,,65.34888537127975,,,,0.4,0.48,0.8800000000000001,1.88,2.256,60.75,2.0,5.0,43.0,1.006,2,FW,backup
ENG-Premier League,2324,Arsenal,Kai Havertz,GER,"MF,FW",24.0,1999.0,37,30,2634,29.3,13,7,20,12,1,1,11,0,0.44,0.24,0.68,0.41,0.65,kai havertz||arsenal||2324,69,28,40.6,2.36,0.96,0.17,0.43,,,,,,,,,,,,,,,,71,77.0,83.0,18,7,19.0,0,2.41,77,22,55,1.88,1.08,0,49,44,15,11,18,17,0,England,1,5.0,FW,False,False,False,True,,2.2,1.2,3.4000000000000004,11.8,4.8,2.05,2.901023890784983,3.071672354948806,1.877133105802048,8.361774744027304,0.2597402597402597,0.43,0.3754266211604095,2.2126897079030186,,,0.0,,49.59504443727359,,,,,,,,,58.25,2.0,0.0,85.0,1.09,3,FW,sub
GER-Bundesliga,2425,Mainz 05,Jonathan Burkardt,GER,FW,24.0,2000.0,29,28,2109,23.4,18,2,20,16,2,2,0,0,0.77,0.09,0.85,0.68,0.77,jonathan burkardt||mainz 05||2425,72,30,41.7,3.07,1.28,0.22,0.53,,,,,,,,,,,,,,,,73,68.9,74.0,9,1,24.0,0,1.59,42,32,10,0.43,0.24,0,23,24,11,27,1,7,0,Germany,1,4.7,FW,False,False,False,True,,3.619,0.423,3.995,14.429,6.016,3.196,1.405982905982906,0.2008547008547008,5.423076923076924,4.61965811965812,0.4761904761904761,0.53,0.0,2.7669785714285715,,,0.0,,62.393687431035126,,,,0.3,-0.03,0.26,1.41,-0.1409999999999999,57.63,2.0,5.0,47.0,1.014,4,FW,sub
